[ |2021-10-07 08:23:26.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 08:23:26.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 08:23:26.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 08:23:26.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 08:23:27.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 08:23:27.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 08:23:27.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 08:23:27.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 08:23:28.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 08:23:28.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 08:23:28.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 08:23:29.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 08:23:29.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 08:23:29.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 08:23:29.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 08:23:29.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 08:23:50.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 08:23:50.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 08:23:50.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 08:23:50.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 08:24:17.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 08:24:17.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 08:24:17.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 08:24:17.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 08:32:08.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 08:32:08.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 08:32:08.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 08:32:08.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 08:36:07.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 08:36:07.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 08:36:07.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 08:36:07.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 08:37:38.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 08:37:38.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 08:37:38.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 08:37:38.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 08:38:08.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 08:38:08.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
